Name;MM;Epic;T;Set;LeadsV;LeadsH;VP;BP;B;R;G;Y;S;Team;TeamSC;Wnd;KOH;KBS;CRWD;BS;PL;Effect/Master Strike;OtherEffects;NOTE;file;loc
Apocalypse;;;;DC;Four Horsemen;;6;12;;;;;;;;;;;1;;;Put all good heroes on top of your deck;Four Horsemen get +2.;Wins if all horsemen escape;darkcity,jpg;7 1
The end of all things;Apocalypse;;;DC;;;6;;;;;;;;;;2;;;;;Other players reveal top 3, KO all good heroes.;;;darkcity,jpg;6 1
Apocalyptic Destruction;Apocalypse;;;DC;;;6;;;;;;;;;;2;;;;;Other players KO two good heroes from discard pile.;;;darkcity,jpg;8 1
Horsemen are drawing nearer;Apocalypse;;;DC;;;6;;;;;;;;;;;;1;;;Other players play a Four Horsemen villain from victory pile.;;;darkcity,jpg;9 1
Immortal and undefeated;Apocalypse;;;DC;;;6;;;;;;;;;;;;;;1;If not final tactic, rescue six BS and shuffle back.;;;darkcity,jpg;10 1
Arcade;;;;XM;Murderworld;;5;3;;;;;;;;;;;;1;;Add a Human Shield from each player's VP. Players who can't get a wound.;Starts with 5 Human Shields.;;mm,jpg;4 1
Arcade;;1;;XM;Murderworld;;5;4;;;;;;;;;;;;1;;Add two Human Shields from each player's VP. Players who can't get a wound.;Starts with 8 Human Shields and a Horror.;;earc,png;1
I Love a Parade!;Arcade;;;XM;;;5;;;;;;;;;;;;1;1;;Add two Human Shields. Play extra card from villain deck next turn.;;;xmen2,jpg;2 2
Welcome to my theme park!;Arcade;;;XM;;;5;;;;;;;;;;;;;1;;Add two Human Shields, also to all Murderworld villains.;;;xmen2,jpg;10 1
Roulette wheel of death;Arcade;;;XM;;;5;;;;;;;;;;;;;1;;Add Human Shield from deck, escape, each city space, each other player's VP.;;;xmen2,jpg;3 2
I need an audience;Arcade;;;XM;;;5;;;;;;;;;;;;;1;;Add Human Shield for each villain in city.;;;xmen2,jpg;1 2
Arnim Zola;;;;C75;Zola's Creations;;6;6;;;;;;;;;;;;;;Heroes in the HQ with \\\<2 go back to deck and each player discards cards with equal cost.;Ultimate abomination (for all heroes);;c75,jpg;1 3
Dominate the Weak;Arnim Zola;;;C75;;;6;;;;;;;;;;;;;;;Any player gets hero from hq with \\\<2.;;;c75,jpg;2 3
